INSTRUMENT,COMPANY,MIN TRADED QUANTITY,MARGIN,LONG POSITION SWAP,SHORT POSITION SWAP,MARKET HOURS *
TorontoDominion,Toronto-Dominion Bank,5,5%,-0.005253,-0.003502,1:30 pm to 8:00 pm
Toshiba,Toshiba Corp,100,5%,-0.016828,-0.015533,11:05 pm to 5:00 am
Toyota,Toyota Motor Corp,5,5%,-0.431889,-0.398667,11:05 pm to 5:00 am
TransCanada,Transcanada Corp,5,5%,-0.005224,-0.003483,1:30 pm to 8:00 pm
TripAdvisor,TripAdvisor Inc,5,5%,-0.004284,-0.001836,1:30 pm to 8:00 pm
TRN,TERNA,5,10%,-0.000347,-0.000347,7:00 am to 3:25 pm
TRV,The Travelers Companies; Inc.,5,5%,-0.011746,-0.005034,1:30 pm to 8:00 pm
TSCO,Tesco plc,150,5%,-0.000152,-0.000101,7:00 am to 3:30 pm
TSLA,Tesla Motors Inc.,3,5%,-0.030228,-0.012955,1:30 pm to 8:00 pm
TUI,TUI AG,10,5%,-0.000912,-0.000911,7:00 am to 3:30 pm
TWTR,Twitter Inc.,10,5%,-0.001786,-0.000765,1:30 pm to 8:00 pm
UBI,UBI BANCA,75,5%,-0.000257,-0.000257,7:00 am to 3:25 pm
UBS,UBS AG,15,5%,-0.001592,-0.000682,1:30 pm to 8:00 pm
UCG,UNICREDIT,10,5%,-0.001165,-0.001164,7:00 am to 3:25 pm
UG,PEUGEOT SA,40,5%,-0.001285,-0.001284,7:00 am to 3:30 pm
UL,UNIBAIL-RODAMCO SE,5,5%,-0.01597,-0.015957,7:00 am to 3:30 pm
UNH,UnitedHealth Group Inc.,5,5%,-0.016789,-0.007195,1:30 pm to 8:00 pm
Unilever,Unilever N.V.,10,5%,-0.003419,-0.003416,7:00 am to 3:30 pm
UPMKymmene,UPM-Kymmene Corporation,20,5%,-0.001716,-0.001715,7:00 am to 3:30 pm
Uralkaliy,Uralkaliy PAO,20,20%,-0.053184,0.033486,7:00 am to 3:30 pm
URBN,Urban Outfitters; Inc.,15,5%,-0.001892,-0.000811,1:30 pm to 8:00 pm
UTX,United Technologies Corporation,5,5%,-0.011777,-0.005047,1:30 pm to 8:00 pm
Vale,Vale SA (ADR),40,10%,-0.000818,-0.000351,1:30 pm to 8:00 pm
Valeant,Valeant Pharmaceuticals Intl Inc,1,5%,-0.001316,-0.000564,1:30 pm to 8:00 pm
VIE,VEOLIA ENVIRONNEMENT SA,40,5%,-0.001341,-0.00134,7:00 am to 3:30 pm
Visa,Visa Inc,3,5%,-0.008988,-0.003852,1:30 pm to 8:00 pm
VOD,Vodafone Group plc,200,5%,-0.000183,-0.000122,7:00 am to 3:30 pm
Voestalpine,Voestalpine AG,10,5%,-0.002735,-0.002733,7:00 am to 3:30 pm
Volvo,AB Volvo,25,5%,-0.009956,-0.009877,7:00 am to 3:25 pm
VOW3,Volkswagen AG Vz,5,5%,-0.009676,-0.009668,7:00 am to 3:30 pm
VRTX,Vertex Pharmaceuticals Incorporated,5,5%,-0.011475,-0.004918,1:30 pm to 8:00 pm
VZ,Verizon Communications Inc.,10,5%,-0.004415,-0.001892,1:30 pm to 8:00 pm
WasteConnections,Waste Connections Inc,3,5%,-0.010357,-0.006904,1:30 pm to 8:00 pm
WB,Weibo Corp (ADR),15,10%,-0.007611,-0.003262,1:30 pm to 8:00 pm
Wesfarmers,Wesfarmers Ltd,10,5%,-0.005074,-0.000895,12:03 am to 6:00 am
WesternDigital,Western Digital Corp,5,5%,-0.008419,-0.003608,1:30 pm to 8:00 pm
Westpac,Westpac Banking Corp,10,5%,-0.003639,-0.000642,12:03 am to 6:00 am
WFC,Wells Fargo & Co,10,5%,-0.005158,-0.002211,1:30 pm to 8:00 pm
WMT,Wal-Mart Stores Inc.,5,5%,-0.00766,-0.003283,1:30 pm to 8:00 pm
Woodside,Woodside Petroleum Ltd,10,5%,-0.003813,-0.000673,12:03 am to 6:00 am
Woolworths,Woolworths Ltd,10,5%,-0.003051,-0.000538,12:03 am to 6:00 am
WPP,WPP plc,20,5%,-0.001428,-0.000952,7:00 am to 3:30 pm
WYNN,Wynn Resorts; Limited,5,5%,-0.011826,-0.005068,1:30 pm to 8:00 pm
XOM,Exxon Mobil Corp.,5,5%,-0.007967,-0.003414,1:30 pm to 8:00 pm
Yara,Yara International ASA,10,5%,-0.027079,-0.018053,7:00 am to 2:20 pm
YHOO,Yahoo! Inc.,15,5%,-0.004876,-0.00209,1:30 pm to 8:00 pm
ZurichInsurance,Zurich Insurance Group Ltd.,1,5%,-0.015892,-0.023838,7:00 am to 3:20 pm
